mz,time,Control1,Control2,Control3,Control4,Control5,H1N1_1,H1N1_2,H1N1_3,H1N1_4,H1N1_5
682.5383117,34.8052,18.00842669,17.92093529,11.21505998,18.26367468,15.88984005,17.66278184,18.81848728,17.73179681,18.2860955,17.51188132
402.2837867,127.432,21.12339455,21.23543855,20.91488137,18.97827646,20.03502827,19.47874939,20.98472881,20.87483057,19.88547883,18.82407855
718.5360531,226.061,20.46176953,23.22603706,23.0706228,22.34056764,23.04300377,23.67238216,23.43307895,23.42185542,24.10600375,23.00862525
160.0951639,133.399,22.46926941,22.13389043,18.19585722,21.60573702,23.5140875,20.0083815,22.11571592,22.24881899,23.40208798,20.7246368
124.0154953,319.886,24.10600375,22.96508889,20.28927314,22.41666967,21.30285132,22.36113504,20.39395634,23.29610751,21.28464506,22.12313125
143.9964412,318.249,22.1103719,22.17994464,22.276894,21.56972335,22.07050458,21.05623989,21.72977261,22.03407823,21.83963973,21.95803481
149.0263351,285.306,22.77008361,22.84026467,22.193811,20.52461653,19.38277501,19.38172025,20.84525687,21.99860687,19.60121746,20.11866198
194.057177,337.682,20.83202511,20.99918551,18.94910872,19.94610253,15.65610534,19.83537649,19.20784481,20.47638978,16.93631606,19.73697759
164.0663881,308.2775,25.2143177,24.46598733,25.23761242,26.01576104,25.33978988,27.07086169,24.51932817,24.05932868,24.74875435,25.48240593
106.0648287,316.476,18.35354051,18.1329883,18.06265043,20.75508587,19.68700663,21.1651416,19.32381442,17.6499259,19.43139272,20.48639709
309.1453166,201.654,21.87260178,22.43454753,20.57770492,21.77555469,19.40417758,21.45439794,22.04076626,22.0150201,21.0710866,22.08552858
283.1895418,114.759,21.2343076,21.72877282,21.16858965,20.71436855,20.97275456,20.06512323,21.17173603,21.49707377,20.92952013,20.68594551
288.133925,268.645,23.07825703,23.00862525,22.92768879,23.07320712,23.6228255,21.76473224,22.47572839,22.84026467,23.03075213,22.63218361
354.9308514,46.1443,18.8112926,18.11211979,16.93631606,19.77015478,19.43661839,19.49807015,17.47222945,17.60059954,18.38830625,19.29975277
101.115171,286.802,23.4851263,23.47829571,22.54262196,23.53515621,22.23872657,22.72886375,23.29120637,24.07372988,23.32379256,24.0138772
214.2522493,119.3305,22.5271505,22.24731673,22.02717916,21.68295393,21.70015384,21.72716828,22.01984221,22.18141956,22.20577368,21.53119296
703.572879,249.9655,24.90543002,25.40417776,25.03624206,23.75637799,24.37637981,24.53836157,25.00359848,25.25935816,24.59481494,23.64469871
141.0906239,130.586,22.93446999,22.18853823,22.65963449,20.91095332,20.72713722,21.87732879,21.87732879,22.77983072,21.55777094,20.9079166
237.9725572,176.938,20.18563445,17.2418367,20.82779915,17.41703636,20.84187419,12.38943495,21.24261286,20.54173863,20.84736154,20.49974054
858.5229756,151.597,21.18715634,20.16607165,20.16728507,19.87599872,22.06801313,20.93387108,19.12811372,20.40856257,21.95803481,21.98092697
111.5215374,2.62385,22.16636516,22.79414283,23.01092173,21.39085699,21.55410143,21.1732489,23.30913852,11.10470865,0.897293723,22.44699628
275.1860067,118.071,18.80230121,19.00756157,18.53442059,19.06946367,20.38523625,18.49413222,20.15038735,18.79746241,20.22975855,21.09351197
605.1072323,343.092,17.31781945,19.70527051,21.24615516,17.84521161,20.35517377,15.6263279,20.40168308,11.10470865,20.97704534,20.07402996
411.2333349,165.169,20.69417119,20.48639709,19.77599989,17.73780917,19.67382157,19.15841636,19.88782711,20.57279575,20.76675849,17.63418877
183.9879073,361.325,24.27518956,24.56208958,24.42579153,21.1800129,23.54504557,20.2062497,24.5715185,23.78802444,23.71565261,23.88796753
381.9278766,221.202,17.9578974,17.06597671,19.16004285,20.28015474,18.59481191,10.93935356,18.0952197,17.0897167,13.51281625,19.85497606
178.990192,121.046,23.61913912,23.66242099,23.46661061,22.44551511,22.99600786,22.40484574,23.18461491,23.64855184,22.56736535,22.47197956
339.155833,239.633,20.08806843,19.69330795,20.33722377,20.30336743,20.06512323,20.20864268,21.33358596,20.50247573,20.05225246,20.22859633
306.1060713,142.141,18.11211979,18.95673041,18.65838657,18.03723736,20.82017519,20.45388791,19.98318594,21.44202644,19.28245773,18.32766751
319.2234317,179.357,21.30674148,20.67573549,20.51203628,16.96595089,21.02071144,18.81594845,20.32030082,21.9041464,20.93742606,20.84612287
112.9664544,306.56,24.34727588,24.81676744,24.26378259,23.35939357,23.633395,22.78544586,24.16553001,24.47688817,23.9067219,23.65992221
536.3055494,268.0215,20.40735799,20.5447833,19.40593618,20.27201769,20.76168461,18.89419511,20.21864424,21.05265009,20.89787759,20.1272332
130.9660734,46.54035,20.98037266,20.82882402,20.66681161,21.17586186,21.65016275,20.92226417,20.46241456,20.54927047,20.8347406,20.74244937
